2025-02-19 01:50:05,636 [INFO]: 🚀 Starting AlphaZero Training for Tic-Tac-Toe
2025-02-19 01:50:06,727 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,730 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,732 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,734 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,736 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,738 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,740 [INFO]: 🤖 Best Move Selected by MCTS: (0, 0)
2025-02-19 01:50:06,742 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,744 [INFO]: 🏆 Episode 30: Winner = 0, Loss = 0.0070
2025-02-19 01:50:06,746 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
